match_id,season,venue,team1,team2,toss_winner,toss_decision,winner
6,2023/24,"North Sydney Oval, Sydney",Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Thunder
17,2021/22,"Aurora Stadium, Launceston",Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Melbourne Stars
34,2016/17,Aurora Stadium,Hobart Hurricanes,Sydney Thunder,Hobart Hurricanes,bat,Hobart Hurricanes
13,2024/25,"Junction Oval, Melbourne",Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
52,2020/21,North Sydney Oval,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
46,2018/19,Harrup Park,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,bat,Melbourne Renegades
4,2023/24,"Karen Rolton Oval, Adelaide",Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers
45,2019/20,Bellerive Oval,Hobart Hurricanes,Adelaide Strikers,Hobart Hurricanes,field,Adelaide Strikers
1,2018/19,Junction Oval,Perth Scorchers,Hobart Hurricanes,Perth Scorchers,field,Perth Scorchers
32,2022/23,"Bellerive Oval, Hobart",Hobart Hurricanes,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
38,2024/25,"Western Australia Cricket Association Ground, Perth",Perth Scorchers,Hobart Hurricanes,Perth Scorchers,bat,Hobart Hurricanes
14,2018/19,Bellerive Oval,Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
21,2018/19,"Brisbane Cricket Ground, Woolloongabba",Brisbane Heat,Melbourne Stars,Melbourne Stars,bat,Brisbane Heat
50,2023/24,"Western Australia Cricket Association Ground, Perth",Melbourne Stars,Perth Scorchers,Melbourne Stars,bat,Melbourne Stars
29,2023/24,"Karen Rolton Oval, Adelaide",Melbourne Renegades,Adelaide Strikers,Melbourne Renegades,bat,Adelaide Strikers
51,2020/21,North Sydney Oval,Hobart Hurricanes,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
40,2021/22,"Karen Rolton Oval, Adelaide",Sydney Sixers,Adelaide Strikers,Sydney Sixers,bat,Adelaide Strikers
