match_id,inning,batting_team,player,runs_scored,balls_faced,strike_rate,fours,sixes
52,1,Perth Scorchers,NE Bolton,21,19,110.53,1,1
52,1,Perth Scorchers,C Piparo,9,15,60.0,1,0
52,1,Perth Scorchers,H Graham,6,10,60.0,0,0
52,1,Perth Scorchers,JL Barsby,11,15,73.33,0,0
52,1,Perth Scorchers,KJ Garth,5,2,250.0,1,0
52,1,Perth Scorchers,T Peschel,10,9,111.11,1,0
52,1,Perth Scorchers,SM Betts,1,1,100.0,0,0
52,2,Hobart Hurricanes,EG Fazackerley,58,48,120.83,5,2
52,2,Hobart Hurricanes,NJ Carey,4,3,133.33,1,0
52,2,Hobart Hurricanes,HC Knight,0,1,0.0,0,0
52,2,Hobart Hurricanes,FC Wilson,13,16,81.25,2,0
52,2,Hobart Hurricanes,CL Hall,18,22,81.82,0,0
52,2,Hobart Hurricanes,CL Tryon,14,4,350.0,2,1
53,1,Sydney Thunder,RL Haynes,57,49,116.33,5,0
53,1,Sydney Thunder,RH Priest,21,9,233.33,3,1
53,1,Sydney Thunder,NE Stalenberg,5,8,62.5,1,0
53,1,Sydney Thunder,AJ Blackwell,28,23,121.74,2,1
53,1,Sydney Thunder,SR Taylor,43,23,186.96,6,1
53,1,Sydney Thunder,NJ Carey,7,4,175.0,1,0
53,1,Sydney Thunder,H Kaur,1,3,33.33,0,0
53,1,Sydney Thunder,R Trenaman,0,1,0.0,0,0
53,2,Brisbane Heat,GM Harris,13,7,185.71,1,1
53,2,Brisbane Heat,BL Mooney,102,55,185.45,14,1
53,2,Brisbane Heat,SJ Johnson,0,5,0.0,0,0
53,2,Brisbane Heat,KL Short,15,18,83.33,0,0
53,2,Brisbane Heat,JL Jonassen,15,16,93.75,1,0
53,2,Brisbane Heat,JE Dooley,1,2,50.0,0,0
53,2,Brisbane Heat,L Wolvaardt,4,3,133.33,0,0
53,2,Brisbane Heat,L Harris,8,5,160.0,1,0
53,2,Brisbane Heat,DM Kimmince,11,6,183.33,2,0
15,1,Melbourne Renegades,L Lee,9,11,81.82,2,0
15,1,Melbourne Renegades,S Molineux,23,25,92.0,3,0
15,1,Melbourne Renegades,EG Fazackerley,2,9,22.22,0,0
15,1,Melbourne Renegades,AE Satterthwaite,2,8,25.0,0,0
15,1,Melbourne Renegades,C Webb,21,21,100.0,1,1
15,1,Melbourne Renegades,G Wareham,54,27,200.0,5,4
15,1,Melbourne Renegades,M Brown,2,6,33.33,0,0
15,1,Melbourne Renegades,C Leeson,0,1,0.0,0,0
15,2,Sydney Sixers,AJ Healy,60,31,193.55,11,1
15,2,Sydney Sixers,EA Perry,20,27,74.07,1,0
15,2,Sydney Sixers,A Gardner,20,8,250.0,1,2
15,2,Sydney Sixers,EA Burns,16,13,123.08,2,0
19,1,Melbourne Renegades,HK Matthews,12,20,60.0,1,0
19,1,Melbourne Renegades,C Webb,25,29,86.21,3,0
19,1,Melbourne Renegades,A Capsey,33,15,220.0,6,0
19,1,Melbourne Renegades,DJS Dottin,7,5,140.0,0,1
19,1,Melbourne Renegades,G Wareham,3,9,33.33,0,0
19,1,Melbourne Renegades,NE Stalenberg,26,17,152.94,3,0
19,1,Melbourne Renegades,N Faltum,29,23,126.09,5,0
19,1,Melbourne Renegades,G Prestwidge,4,2,200.0,0,0
19,2,Melbourne Stars,YH Bhatia,22,26,84.62,3,0
19,2,Melbourne Stars,IY Mckeon,7,9,77.78,1,0
19,2,Melbourne Stars,MM Lanning,22,21,104.76,1,1
19,2,Melbourne Stars,A Sutherland,16,19,84.21,0,1
19,2,Melbourne Stars,R McKenna,1,1,100.0,0,0
19,2,Melbourne Stars,M Kapp,16,8,200.0,3,0
19,2,Melbourne Stars,DB Sharma,23,19,121.05,3,0
19,2,Melbourne Stars,T Flintoff,5,8,62.5,0,0
19,2,Melbourne Stars,KJ Garth,5,6,83.33,0,0
19,2,Melbourne Stars,ML Gibson,8,3,266.67,2,0
23,1,Sydney Sixers,AJ Healy,55,38,144.74,10,0
23,1,Sydney Sixers,EA Perry,42,42,100.0,5,1
23,1,Sydney Sixers,A Gardner,52,31,167.74,4,2
23,1,Sydney Sixers,SJ McGlashan,8,8,100.0,1,0
23,1,Sydney Sixers,D van Niekerk,1,1,100.0,0,0
23,2,Sydney Thunder,RL Haynes,6,10,60.0,0,0
23,2,Sydney Thunder,SR Taylor,12,8,150.0,3,0
23,2,Sydney Thunder,NE Stalenberg,4,2,200.0,1,0
23,2,Sydney Thunder,AJ Blackwell,31,30,103.33,5,0
23,2,Sydney Thunder,H Kaur,18,20,90.0,1,0
23,2,Sydney Thunder,EA Osborne,32,30,106.67,3,0
23,2,Sydney Thunder,NJ Carey,20,14,142.86,3,0
23,2,Sydney Thunder,RM Farrell,2,3,66.67,0,0
23,2,Sydney Thunder,CJ Koski,1,3,33.33,0,0
51,1,Adelaide Strikers,SFM Devine,59,48,122.92,4,1
51,1,Adelaide Strikers,SW Bates,22,20,110.0,3,0
51,1,Adelaide Strikers,TM McGrath,11,12,91.67,1,0
51,1,Adelaide Strikers,BE Patterson,32,26,123.08,1,3
51,1,Adelaide Strikers,ML Schutt,2,3,66.67,0,0
51,1,Adelaide Strikers,TJ McPharlin,2,3,66.67,0,0
51,1,Adelaide Strikers,A Wellington,3,3,100.0,0,0
51,1,Adelaide Strikers,T Saville,2,4,50.0,0,0
51,1,Adelaide Strikers,SJ Coyte,0,1,0.0,0,0
51,2,Perth Scorchers,EJ Villani,13,11,118.18,2,0
51,2,Perth Scorchers,MM Lanning,2,3,66.67,0,0
51,2,Perth Scorchers,AE Jones,14,16,87.5,2,0
51,2,Perth Scorchers,C Piparo,4,9,44.44,1,0
51,2,Perth Scorchers,LK Ebsary,38,29,131.03,3,2
51,2,Perth Scorchers,H Graham,9,16,56.25,1,0
51,2,Perth Scorchers,KL Cross,5,7,71.43,0,0
51,2,Perth Scorchers,HNK Jensen,5,5,100.0,0,0
51,2,Perth Scorchers,BM Devchand,7,9,77.78,0,0
